recive time 3.894,process time 0.094 send time 0.000
recive time 0.010,process time 0.069 send time 0.000
recive time 0.007,process time 0.071 send time 0.000
recive time 0.006,process time 0.070 send time 0.000
recive time 0.008,process time 0.069 send time 0.000
recive time 0.007,process time 0.070 send time 0.000
recive time 0.009,process time 0.067 send time 0.000
recive time 0.007,process time 0.056 send time 0.000
recive time 0.008,process time 0.068 send time 0.000
recive time 0.009,process time 0.071 send time 0.000
recive time 0.008,process time 0.071 send time 0.000
recive time 0.007,process time 0.071 send time 0.000
recive time 0.007,process time 0.070 send time 0.000
recive time 0.010,process time 0.067 send time 0.000
recive time 0.007,process time 0.071 send time 0.000
recive time 0.006,process time 0.071 send time 0.000
recive time 0.007,process time 0.056 send time 0.000
recive time 0.007,process time 0.055 send time 0.000
recive time 0.007,process time 0.054 send time 0.000
recive time 0.007,process time 0.056 send time 0.000
recive time 0.007,process time 0.054 send time 0.000
recive time 0.007,process time 0.056 send time 0.000
recive time 0.007,process time 0.054 send time 0.000
recive time 0.007,process time 0.057 send time 0.000
recive time 0.006,process time 0.058 send time 0.000
recive time 0.007,process time 0.055 send time 0.000
recive time 0.007,process time 0.057 send time 0.000
recive time 0.006,process time 0.057 send time 0.000
recive time 0.007,process time 0.056 send time 0.000
recive time 0.007,process time 0.054 send time 0.000
recive time 0.007,process time 0.055 send time 0.000
recive time 0.007,process time 0.056 send time 0.000
recive time 0.007,process time 0.056 send time 0.000
recive time 0.007,process time 0.056 send time 0.000
recive time 0.007,process time 0.054 send time 0.000
recive time 0.007,process time 0.055 send time 0.000
recive time 0.009,process time 0.068 send time 0.000
recive time 0.008,process time 0.070 send time 0.000
recive time 0.010,process time 0.068 send time 0.000
recive time 0.008,process time 0.071 send time 0.000
recive time 0.007,process time 0.069 send time 0.000
recive time 0.007,process time 0.085 send time 0.000
recive time 0.011,process time 0.096 send time 0.000
recive time 0.008,process time 0.090 send time 0.001
recive time 0.012,process time 0.130 send time 0.000
recive time 0.010,process time 0.083 send time 0.000
recive time 0.008,process time 0.086 send time 0.000
recive time 0.006,process time 0.089 send time 0.000
recive time 0.008,process time 0.100 send time 0.000
recive time 0.009,process time 0.087 send time 0.000
recive time 0.007,process time 0.102 send time 0.001
recive time 0.011,process time 0.112 send time 0.000
recive time 0.012,process time 0.084 send time 0.000
recive time 0.006,process time 0.072 send time 0.000
recive time 0.007,process time 0.055 send time 0.000
recive time 0.007,process time 0.054 send time 0.000
recive time 0.007,process time 0.054 send time 0.000
recive time 0.007,process time 0.071 send time 0.000
recive time 0.007,process time 0.055 send time 0.000
recive time 0.007,process time 0.056 send time 0.000
recive time 0.007,process time 0.055 send time 0.000
recive time 0.007,process time 0.055 send time 0.000
recive time 0.007,process time 0.054 send time 0.000
recive time 0.007,process time 0.056 send time 0.000
recive time 0.007,process time 0.054 send time 0.000
recive time 0.006,process time 0.055 send time 0.000
recive time 0.007,process time 0.056 send time 0.000


recive time 0.029,process time 0.048 send time 0.000
recive time 0.034,process time 0.075 send time 0.000
recive time 0.035,process time 0.074 send time 0.000
recive time 0.037,process time 0.075 send time 0.000
recive time 0.034,process time 0.064 send time 0.000
recive time 0.035,process time 0.064 send time 0.001
recive time 0.037,process time 0.069 send time 0.000
recive time 0.037,process time 0.058 send time 0.000
recive time 0.038,process time 0.072 send time 0.000
recive time 0.039,process time 0.068 send time 0.000
recive time 0.037,process time 0.073 send time 0.000
recive time 0.037,process time 0.057 send time 0.000
recive time 0.037,process time 0.057 send time 0.000
recive time 0.037,process time 0.056 send time 0.000
recive time 0.037,process time 0.073 send time 0.000
recive time 0.037,process time 0.072 send time 0.000
recive time 0.037,process time 0.070 send time 0.000
recive time 0.037,process time 0.055 send time 0.000
recive time 0.033,process time 0.059 send time 0.000
recive time 0.034,process time 0.059 send time 0.000
recive time 0.039,process time 0.054 send time 0.000
recive time 0.034,process time 0.059 send time 0.000
recive time 0.037,process time 0.056 send time 0.000
recive time 0.040,process time 0.069 send time 0.000
recive time 0.041,process time 0.070 send time 0.000
recive time 0.039,process time 0.069 send time 0.000
recive time 0.040,process time 0.068 send time 0.000
recive time 0.038,process time 0.070 send time 0.000
recive time 0.039,process time 0.071 send time 0.000
recive time 0.038,process time 0.070 send time 0.000
recive time 0.039,process time 0.070 send time 0.000
recive time 0.043,process time 0.065 send time 0.000
recive time 0.050,process time 0.061 send time 0.000
recive time 0.038,process time 0.070 send time 0.000
recive time 0.038,process time 0.073 send time 0.000
recive time 0.039,process time 0.070 send time 0.000
recive time 0.037,process time 0.058 send time 0.000
recive time 0.035,process time 0.058 send time 0.000
recive time 0.031,process time 0.064 send time 0.000
recive time 0.031,process time 0.060 send time 0.000
recive time 0.038,process time 0.056 send time 0.000
recive time 0.039,process time 0.072 send time 0.000
recive time 0.045,process time 0.063 send time 0.000
recive time 0.039,process time 0.071 send time 0.000
recive time 0.039,process time 0.069 send time 0.000
recive time 0.039,process time 0.071 send time 0.000
recive time 0.039,process time 0.071 send time 0.000
recive time 0.038,process time 0.056 send time 0.000
recive time 0.034,process time 0.073 send time 0.000
recive time 0.037,process time 0.072 send time 0.000
recive time 0.038,process time 0.070 send time 0.000
recive time 0.039,process time 0.070 send time 0.000
recive time 0.039,process time 0.054 send time 0.000
recive time 0.034,process time 0.060 send time 0.000
recive time 0.034,process time 0.060 send time 0.000
recive time 0.037,process time 0.071 send time 0.000
recive time 0.033,process time 0.060 send time 0.000
recive time 0.039,process time 0.071 send time 0.000
recive time 0.039,process time 0.070 send time 0.000
recive time 0.039,process time 0.068 send time 0.000
recive time 0.039,process time 0.070 send time 0.000
recive time 0.040,process time 0.068 send time 0.000
recive time 0.038,process time 0.072 send time 0.000
recive time 0.039,process time 0.070 send time 0.000
recive time 0.039,process time 0.070 send time 0.000
recive time 0.038,process time 0.071 send time 0.000
recive time 0.039,process time 0.070 send time 0.000
recive time 0.038,process time 0.070 send time 0.000
